source,target
Bos Foster,James Ivers
Ambrose Ferrell,Gilbert Ash
John Phillips,Josiah Flagg
Dr Allen,Jonathan Stoddard
Nathaniel Frothingham,William Pierce
Edward Proctor,William Pierce
Ezra Collins,Samuel Peck
Asa Stoddard,John Sigourney
David Kinnison,Samuel Foster
Fortesque Vernon,Oliver Wendell
Henry Bass,Job Prince
Edward Dolbear,Thomas Bolter
John Hancock,John Pitts
John Pulling,Samuel Adams
Richard Hunnewell,Eckley
James Bewer,William Etheridge
Eliphelet Newell,Joseph Eayres
Samuel Peck,Thomas Bolter
Benjamin Church,Joseph Warren
Edward Proctor,William Powell
Edward Cailleteau,Elisha Callendar
John Randall,Matthew Loring
John Russell,Samuel Hobbs
John Boit,John Pulling
Martin Brimmer,Peter Boyer
David Bradlee,John Gammell
Eliphelet Newell,Gershom Collier
James Ivers,Jos Brackett
Increase Blake,William Ham
George Bray,Josiah Flagg
Bos Foster,William Greenleaf
Gilbert Colesworthy,Nathaniel Barber
Bos Foster,Paul Revere
Nathaniel Holmes,Samuel Emmes
George Hewes,Matthew Loring
James Swan,John Crane
Benjamin Austin,Caleb Hopkins
Wait Gray,William Wingfield
Jonathan Williams,Samuel Adams
Ambrose Sloper,Walter Kerr
Eliphelet Newell,Thomas Williams
Elisha Story,Robert Davis
Edward Jarvis,John Marlton
Eliphelet Newell,Samuel Gore
Elisha Story,William Pierce
Nathaniel Bradlee,Nicholas Campbell
Peter Slater,Samuel Howard
Capt Cazneau,Ezekiel Cheever
Peter Doyle,Wait Gray
James Ivers,Paul Revere
Adam Collson,Robert Sessions
John Spurr,Joseph Lee
Charles Jarvis,John Marson
Adam Collson,Paul Revere
Josiah Wheeler,Thomas Young
James Bewer,Joseph Shed
Benjamin Edes,Samuel White
John May,Thomas Chase
Nathaniel Willis,Thomas Porter
Capt MacKintosh,Thomas Machin
John Cochran,William Russell
John Adams,Thomas Tileston
John Matchett,Thomas Chrysty
Abraham Hunt,Phineas Stearns
John Matchett,John Pulling
Oliver Wendell,Thomas Young
David Kinnison,Edward Dolbear
Ebenezer Stevens,Moses Grant
Benjamin Waldo,James Ivers
Philip Tabor,Phillip Lewis
Royall Tyler,Samuel Dexter
Anthony Morse,Thomas Bolter
Jonathan Hunnewell,Thomas Chase
Nathaniel Frothingham,Samuel Foster
Anthony Morse,Archibald MacNeil
John Hancock,Oliver Wendell
Edward Potter,William Palfrey
Anthony Morse,John Prince
Gilbert Colesworthy,John Prince
Daniel Ingersoll,Thomas Porter
Wait Gray,William McAlpine
Abraham Hunt,Gilbert Colesworthy
Edward Howe,John Russell
Edward Proctor,Samuel Austin
Moses Deshon,Samuel Peck
Adam Collson,Benjamin Burt
Jonathan Parker,Matthew Loring
Benjamin Church,Oliver Wendell
John May,Samuel Sprague
Caleb Champney,Thomas Kimball
John Gammell,John Peters
Ezra Collins,John Jenkins
David Kinnison,Thomas Chase
James Foster Condy,William Etheridge
Richard Pulling,Samuel Peck
Increase Blake,William Burbeck
Capt MacKintosh,Henry Prentiss
Eliphelet Newell,Thomas Hunstable
Cyrus Baldwin,Joseph Eayres
Samuel Hammond,William Molineux
John Winthrop,William Hickling
Samuel Sprague,William Molineux
Joseph Greenleaf,Pierce Isaac
John Crane,Peter Slater
Joshua Wyeth,Thomas Bolter
Thomas Milliken,William Wingfield
John Boit,Nathaniel Appleton
John Avery,Thomas Chase
Philip Tabor,Samuel Peck
Jonathan Mason,Nat Noyces
Jonathan Parker,Joseph Eayres
Henry Bass,Robert Davis
John Adams,John Hancock
James Foster Condy,Oliver Wendell
Nicholas Campbell,Richard Hunnewell
Nathaniel Barber,Thomas Williams
Philip Tabor,Thomas Crafts
Joseph Roby,Joseph Shed
James Foster Condy,John Prince
John Spurr,Lendall Pitts
Josiah Wheeler,William Molineux
Abiel Ruddock,Oliver Wendell
Josiah Wheeler,Paul Revere
Abiel Ruddock,Thomas Chrysty
Adam Collson,Samuel Fenno
Nathaniel Hitchborn,William Ham
William Dennie,William Hickling
Anthony Morse,John Crane
Edward Cailleteau,Joseph Webb
Capt Cazneau,Jonathan Stoddard
Edward Howe,Samuel Sprague
Benjamin Church,Eben Johnston
Samuel Moody,William McAlpine
Robert Pierpont,William Powell
George Bray,Nicholls
Nicholas Campbell,Thomas Machin
Caleb Hopkins,Charles Jarvis
John Russell,Joseph Mountford
John May,John Russell
Joseph Eaton,Lendall Pitts
Samuel Foster,William Hendley
Amos Lincoln,Henry Purkitt
Benjamin Burton,James Bewer
James Starr,Phineas Stearns
Edward Jarvis,Moses Deshon
John Bradford,Newn Greenough
John Prince,Thomas Porter
James Ivers,John Brown
Benjamin Edes,William Molineux
Henry Welles,Moses Deshon
Josiah Wheeler,Nathaniel Bradlee
Nathaniel Frothingham,Paul Revere
George Hewes,Joseph Roby
John Winthrop,William Hoskins
Jonathan Hunnewell,Samuel Peck
Anthony Morse,Thomas Melville
David Bradlee,Edward Dolbear
Joseph Mountford,Stephen Bruce
Edward Potter,James Graham
William Molineux,William Powell
Benjamin Simpson,Joseph Shed
Benjamin Burt,Thomas Hitchborn
Gilbert Ash,Peter Doyle
Josiah Quincy,William Powell
Edward Potter,William Gould
Isaac Pearce,Perez Morton
Jonathan Hunnewell,Robert Sessions
Richard Hunnewell,Thomas Urann
John Avery,Moses Grant
Benjamin Burton,Thomas Hunstable
Eben Johnston,Martin Brimmer
John Marson,Oliver Wendell
Joseph Shed,Paul Revere
Benjamin Church,Samuel Austin
Daniel Ingersoll,Nathaniel Bradlee
Daniel Ingersoll,James Foster Condy
Capt MacKintosh,Paul Revere
John Boit,Nathaniel Barber
Samuel Peck,William Pierce
Thomas Chrysty,William Hickling
John Cochran,Thomas Hunstable
Joseph Mountford,Josiah Bradlee
Edward Davis,Henry Broomfield
Archibald MacNeil,Henry Bass
Dr Allen,Elisha Story
Gilbert Ash,James Graham
Samuel Barrett,William Ham
James Foster Condy,John Pulling
John Sigourney,Thomas Kimball
Herman Brimmer,Paul Revere
Joseph Roby,Robert Sessions
Edward Burbeck,Peter Doyle
Jonathan Parker,Josiah Wheeler
Daniel Ingersoll,Samuel Howard
Benjamin Burt,Perez Morton
Alexander Hill,James Otis
Elisha Story,John Pulling
Thomas Webster,Nicholls
Moses Gill,William Davis
Adam Collson,Joseph Eaton
Moses Grant,Peter Boyer
John Spurr,Phineas Stearns
Alexander Inglish,Joseph Webb
Edward Potter,William Wingfield
John Winslow,Thomas Fleet
John May,Richard Hunnewell
Edward Davis,Newn Greenough
Jeremiah Williams,William Molineux
Benjamin Edes,Elias Parkman
Gabriel Johonnott,Thomas Hitchborn
Henry Welles,Joseph Webb
John Spurr,Nathaniel Barber
Job Prince,Newn Greenough
Caleb Davis,Josiah Quincy
James Swan,John May
Josiah Quincy,Paul Revere
Henry Bass,William Etheridge
Eckley,William Hendley
Eliphelet Newell,Moses Grant
John Bradford,Sam Partridge
John Hooton,Joseph Shed
Samuel Austin,William Greenleaf
Elisha Story,John Hooton
Eliphelet Newell,William Pierce
Edward Howe,Jonathan Hunnewell
Henry Purkitt,Richard Hunnewell
Benjamin Burton,John Cochran
Daniel Ingersoll,Paul Revere
Enoch Brown,Thomas Chase
Benjamin Waldo,Ezekiel Cheever
Herman Brimmer,Jos Brackett
John Adams,John Lowell
Moses Grant,Pierce Isaac
David Kinnison,Samuel Hobbs
Archibald MacNeil,Jonathan Parker
Archibald MacNeil,Thomas Young
Martin Brimmer,William Davis
Charles Jarvis,William Whitwell
Fortesque Vernon,Samuel Barrett
Phineas Stearns,Samuel Barnard
Joshua Wyeth,Matthew Loring
Nicholas Campbell,Thomas Young
Pierce Isaac,William Powell
Henry Bass,William Dennie
John Gammell,Nathaniel Barber
Thomas Melville,William Hendley
John Boit,Perez Morton
William Ham,William Palfrey
Joseph Lee,Eckley
John May,Joseph Shed
James Swan,Thomas Porter
Jonathan Parker,Stephen Bruce
Joseph Palmer,Samuel Peck
John May,Lendall Pitts
Benjamin Church,Samuel Phillips
Benjamin Burt,Eben Symmes
Eben Symmes,Thomas Chrysty
Ambrose Sloper,William Palfrey
Dr Allen,William Molineux
Peter Boyer,Pierce Isaac
Moses Grant,Samuel White
Dr Allen,Gabriel Johonnott
John Hoffins,John Jenkins
Elias Parkman,John Avery
Gilbert Colesworthy,Joseph Eaton
John Cochran,Samuel Fenno
Ezekiel Cheever,Samuel Adams
Nathaniel Barber,William Whitwell
William Greenleaf,William Powell
Gershom Collier,Thomas Melville
John Adams,Paul Revere
Benjamin Burton,John Gammell
Abraham Hunt,Robert Davis
Henry Purkitt,Joseph Lee
Moses Gill,William Phillips
David Kinnison,William Molineux
Joseph Eayres,Samuel Cooper
George Hewes,Nathaniel Frothingham
Gilbert Colesworthy,William Pierce
Richard Hunnewell,Thomas Chase
James Bewer,Joshua Wyeth
John Hancock,Martin Brimmer
Caleb Hopkins,Fortesque Vernon
James Foster Condy,Joseph Eayres
Adam Collson,Thomas Williams
Jonathan Parker,Joshua Wyeth
Peter Boyer,William Davis
Caleb Hopkins,Ezekiel Cheever
Joseph Mountford,Joseph Shed
Benjamin Church,Joseph Eayres
Enoch Brown,John Bradford
George Bray,Richard Pulling
Adam Collson,Samuel White
Edward Burbeck,Seth Chipman
John Bradford,Thomas Young
Nathaniel Greene,Phineas Stearns
Abiel Ruddock,John Ballard
Samuel Barrett,Wait Gray
Gershom Collier,Thomas Hunstable
Daniel Ingersoll,Matthew Loring
Jeremiah Williams,Phineas Stearns
Benjamin Clarke,Gershom Collier
Samuel Austin,Thomas Roylson
Henry Welles,John Jenkins
Elisha Story,Joseph Lee
Nathaniel Bradlee,Stephen Bruce
Jonathan Hunnewell,Thomas Urann
Ezekiel Cheever,John Sigourney
John Lowell,William Breck
Josiah Wheeler,Thomas Bolter
Hugh Brown,Richard Pulling
Adam Collson,Ezekiel Cheever
Thomas Young,William Greenleaf
David Bradlee,Samuel Gore
Ezra Collins,Paul Revere
Gibbens Sharp,Samuel Adams
Benjamin Edes,Gibbens Sharp
Nathaniel Willis,Thomas Chase
Joseph Mountford,Thomas Moore
Jeremiah Williams,Joshua Wyeth
James Ivers,Moses Grant
Josiah Quincy,William Molineux
Eben Symmes,John Symmes
Thomas Chase,Thomas Roylson
Abiel Ruddock,Benjamin Austin
Nathaniel Appleton,Paul Revere
Nathaniel Bradlee,William Molineux
Joseph Warren,Phillip Marett
Oliver Wendell,Thomas Marshall
Joseph Warren,Samuel White
Jonathan Parker,Lendall Pitts
Paul Revere,Samuel Hammond
David Kinnison,John May
Abiel Ruddock,William Breck
Thomas Marshall,William Greenleaf
Elisha Story,Gilbert Colesworthy
Anthony Morse,John Hicks
Edward Dolbear,Nathaniel Barber
John Hoffins,William McAlpine
Henry Prentiss,Richard Hunnewell
Josiah Wheeler,Lendall Pitts
Capt MacKintosh,Matthew Loring
Cyrus Baldwin,Richard Boynton
Oliver Wendell,William Davis
Jonathan Hunnewell,Phineas Stearns
Asa Stoddard,Edward Proctor
James Bewer,William Molineux
Thomas Hunstable,Thomas Porter
Benjamin Clarke,Henry Bass
Caleb Davis,John Avery
Moses Grant,William Molineux
Joseph Shed,Thomas Hunstable
Anthony Morse,Henry Prentiss
Joseph Warren,William Greenleaf
Moses Grant,William Russell
Anthony Morse,Nathaniel Willis
Sam Partridge,William Powell
Hugh Brown,Nicholls
Charles Jarvis,Sam Partridge
John Lambert,Thomas Fleet
Edward Proctor,William Hoskins
Jonathan Stoddard,Samuel Emmes
Thomas Bolter,Eckley
Joseph Mountford,Samuel Barnard
Samuel Adams,William Davis
Joshua Wyeth,Samuel Sprague
James Seward,Samuel Peck
Eliphelet Newell,Jonathan Hunnewell
Alexander Hill,Robert Pierpont
Samuel Peck,Thomas Webster
Benjamin Burt,Nathaniel Appleton
John Gammell,Thomas Moore
Thomas Machin,Thomas Young
Caleb Champney,Thomas Hitchborn
Amos Lincoln,Eckley
John Peters,Moses Grant
Joseph Shed,Thomas Machin
Jonathan Hunnewell,Samuel Hobbs
Paul Revere,Thomas Hitchborn
Edward Jarvis,Seth Chipman
Jonathan Hunnewell,Samuel Foster
John Marlton,Joseph Warren
John Pitts,Samuel Adams
Joseph Webb,William Ham
Peter Slater,Thomas Chase
Lendall Pitts,Thomas Moore
John Lowell,Samuel Emmes
John Boit,Moses Grant
John Jenkins,Wait Gray
Josiah Quincy,William Greenleaf
Jeremiah Williams,Stephen Bruce
Gabriel Johonnott,Nathaniel Holmes
John Winslow,William Cooper
Joseph Payson,Thomas Melville
Peter Doyle,Seth Chipman
Cyrus Baldwin,Nat Noyces
Adam Collson,Josiah Wheeler
James Foster Condy,Samuel Adams
John Pulling,Jos Brackett
Henry Bass,Henry Prentiss
Alexander Inglish,William Burbeck
Capt Cazneau,Joseph Warren
George Hewes,Thomas Moore
Samuel Cooper,Samuel Fenno
James Swan,Joseph Eaton
Nicholls,William Gould
Cyrus Baldwin,John Pulling
Henry Broomfield,Martin Brimmer
Jonathan Parker,Nicholas Campbell
Eben Hancock,Joseph Eayres
Edward Howe,Samuel Hammond
Thomas Moore,William Hendley
John Russell,William Molineux
Samuel Pitts,Thomas Roylson
Josiah Quincy,Thomas Young
John Randall,John Spurr
John Hooton,Nicholas Campbell
Benjamin Burton,Edward Howe
Samuel Barrett,Samuel Peck
Benjamin Simpson,Edward Howe
Gershom Collier,Samuel Gore
Daniel Ingersoll,Robert Davis
Alexander Inglish,Edward Burbeck
Ezra Collins,Nicholls
John Jenkins,Thomas Urann
Gilbert Ash,Paul Revere
Jonathan Hunnewell,Thomas Spear
Edward Proctor,Thomas Tileston
James Starr,Eckley
Benjamin Austin,Eben Johnston
Benjamin Simpson,Thomas Young
Robert Davis,William Russell
Benjamin Clarke,William Etheridge
Samuel Foster,Thomas Bradlee
Joseph Shed,Nathaniel Willis
Elias Parkman,Richard Palms
Eben Johnston,Moses Gill
Thomas Hitchborn,Thomas Kimball
Henry Bass,Joseph Mountford
Benjamin Clarke,Nathaniel Willis
Edward Proctor,John Hooton
Fortesque Vernon,Henry Bass
Jonathan Parker,Nathaniel Bradlee
John Phillips,Nicholls
Adam Collson,Nicholas Campbell
Jonathan Parker,Samuel Cooper
Joseph Mountford,Paul Revere
John Randall,Samuel Barnard
Nathaniel Barber,Samuel Peck
Benjamin Burton,George Hewes
Henry Purkitt,John May
Joseph Shed,Thomas Moore
Benjamin Austin,Edward Proctor
Henry Prentiss,Thomas Melville
James Graham,John Marlton
Peter Doyle,Thomas Urann
Edward Potter,Hugh Brown
Benjamin Austin,Thomas Marshall
John Hancock,Jonathan Mason
Samuel White,Thomas Hitchborn
Jonathan Mason,William Davis
John Cochran,Samuel Peck
Joseph Eaton,Thomas Williams
Jonathan Hunnewell,Nathaniel Bradlee
John Hicks,Paul Revere
James Ivers,Job Prince
Isaac Pearce,Nathaniel Barber
Caleb Davis,Job Prince
Bos Foster,Edward Davis
Gershom Collier,Joseph Eayres
Benjamin Church,William Davis
John Adams,John Winslow
Samuel Howard,Thomas Porter
Cyrus Baldwin,Jonathan Williams
Thomas Young,William Russell
William Davis,William Whitwell
John Marson,William Whitwell
Nathaniel Greene,Samuel Hobbs
Elisha Story,Joseph Greenleaf
Moses Gill,William Powell
Moses Grant,Thomas Spear
David Bradlee,Joseph Eaton
Richard Hunnewell,Thomas Bradlee
Gibbens Sharp,John Sigourney
Alexander Inglish,Nathaniel Hitchborn
Samuel Pitts,Samuel Whitwell
Thomas Bradlee,Eckley
James Ivers,John Avery
James Graham,Phillip Marett
John Hancock,John Winthrop
Increase Blake,Thomas Milliken
Adam Collson,John Symmes
Ambrose Ferrell,Phillip Marett
James Foster Condy,Peter Slater
Joseph Warren,Thomas Marshall
John Gammell,Thomas Young
James Foster Condy,Joseph Eaton
Elias Parkman,John Symmes
George Hewes,Samuel Sprague
Increase Blake,William Gould
Mr Chadwell,Samuel White
Gilbert Ash,Joseph Webb
Peter Slater,Thomas Bolter
Elisha Story,John Randall
Josiah Bradlee,Thomas Young
John Ballard,John Pulling
Benjamin Edes,Stephen Cleverly
Nathaniel Willis,William Pierce
Benjamin Kent,Gibbens Sharp
John Pulling,Moses Gill
Elias Parkman,Thomas Chrysty
Edward Cailleteau,Joseph Warren
Benjamin Waldo,Thomas Marshall
Adam Collson,Samuel Adams
Eben Hancock,James Foster Condy
Eben Symmes,Thomas Tileston
Joseph Warren,Richard Pulling
Jonathan Williams,Jos Brackett
Benjamin Austin,John Pulling
Elisha Callendar,Phillip Lewis
Joseph Lee,William Molineux
Edward Jarvis,Henry Welles
Joseph Eayres,Joseph Warren
Joseph Palmer,Samuel Howard
Jonathan Hunnewell,Eckley
Joseph Eayres,Richard Boynton
Richard Palms,William Molineux
Adam Collson,Thomas Tileston
Dr Allen,John Ballard
Amos Lincoln,William Pierce
James Foster Condy,Samuel Hammond
John Spurr,William Etheridge
Henry Bass,Nathaniel Frothingham
David Bradlee,Elisha Story
George Hewes,John Hooton
Jonathan Parker,Paul Revere
Gershom Collier,Samuel Foster
Edward Davis,Martin Brimmer
Thomas Machin,William Pierce
Thomas Chase,Thomas Peck
Josiah Bradlee,Nathaniel Frothingham
Nathaniel Frothingham,Samuel Peck
Caleb Davis,Charles Jarvis
Joseph Webb,Wait Gray
Joseph Payson,Samuel Fenno
Paul Revere,Richard Boynton
James Ivers,Thomas Chase
Elisha Callendar,Richard Pulling
Adam Collson,Eckley
John Phillips,William Ham
Eben Symmes,Thomas Urann
Henry Bass,Richard Hunnewell
Nathaniel Barber,Nathaniel Greene
Capt Cazneau,Moses Grant
Edward Proctor,George Hewes
Alexander Inglish,Jefferds
John Ballard,William Hoskins
John Peters,Stephen Bruce
Jeremiah Williams,John May
Alexander Inglish,William Wingfield
John Randall,Jonathan Parker
John Sweetser,William Mackay
Fortesque Vernon,Thomas Marshall
Alexander Inglish,John Jenkins
Edward Potter,John Marlton
Alexander Inglish,Thomas Webster
Moses Deshon,Samuel Moody
Henry Welles,John Phillips
William Etheridge,William Hendley
John Crane,John Hicks
Abiel Ruddock,Herman Brimmer
Joseph Greenleaf,Thomas Peck
Archibald MacNeil,Thomas Machin
Gershom Collier,Nathaniel Bradlee
Edward Proctor,Thomas Young
Benjamin Burton,Edward Dolbear
Adam Collson,Gabriel Johonnott
Thomas Spear,Thomas Williams
Eckley,William Etheridge
George Bray,Henry Welles
Benjamin Clarke,Thomas Urann
Asa Stoddard,John Pulling
Adam Collson,Joseph Payson
Benjamin Burton,John Randall
Benjamin Kent,Isaac Pearce Jr
Richard Hunnewell,Samuel Sprague
Ambrose Sloper,Seth Chipman
William Hendley,William Molineux
Edward Cailleteau,Seth Chipman
Elisha Story,Ezekiel Cheever
Paul Revere,William Powell
George Bray,Joseph Warren
Josiah Wheeler,Nathaniel Willis
Thomas Chrysty,William Dennie
John May,Phineas Stearns
James Swan,Robert Davis
Samuel Adams,Thomas Tileston
Ezra Collins,William McAlpine
Benjamin Burton,James Starr
Joseph Eaton,Moses Grant
John Spurr,Samuel Sprague
John Sigourney,Thomas Peck
Elias Parkman,Nathaniel Appleton
Israel Obear,Nathaniel Hitchborn
John Randall,Thomas Melville
Edward Potter,Joseph Webb
Jefferds,Walter Kerr
John Lowell,Thomas Young
Benjamin Burton,Jonathan Parker
Elisha Callendar,Ezra Collins
David Bradlee,Joseph Shed
Edward Proctor,William Hickling
Moses Grant,Samuel Austin
Ezekiel Cheever,John Ballard
Benjamin Burton,John Hicks
John Sigourney,Thomas Chrysty
Jonathan Hunnewell,Joseph Shed
Moses Grant,Phineas Stearns
John Merrit,John Symmes
Nathaniel Bradlee,Thomas Bolter
John Lowell,Perez Morton
Joseph Lee,Thomas Urann
Edward Davis,Samuel Barrett
Henry Bass,Jonathan Hunnewell
John Marson,Jos Brackett
John Sigourney,Thomas Chase
Henry Purkitt,Joseph Palmer
John Jenkins,William Wingfield
Herman Brimmer,Moses Grant
Alexander Inglish,Edward Jarvis
Hugh Brown,Samuel Peck
John Lowell,Moses Grant
Henry Prentiss,William Russell
Enoch Brown,John Brown
Joseph Payson,Nathaniel Barber
Benjamin Waldo,John Brown
Joseph Eayres,Samuel Whitwell
Joseph Shed,William Pierce
Nat Noyces,Samuel Adams
Enoch Brown,William Whitwell
Anthony Morse,Joseph Eaton
Henry Welles,Thomas Milliken
John Hooton,Stephen Bruce
Samuel Cooper,Samuel Gore
Edward Davis,William Davis
Jonathan Parker,Moses Grant
James Foster Condy,Lendall Pitts
Eliphelet Newell,Lendall Pitts
Phillip Lewis,Thomas Milliken
John Randall,Nicholas Campbell
Samuel Sprague,William Russell
John Whitten,Thomas Webster
Ezekiel Cheever,Joseph Warren
Benjamin Simpson,Samuel Cooper
John Crane,Thomas Young
Amos Lincoln,Nathaniel Greene
Phillip Lewis,William Burbeck
Hugh Brown,Paul Revere
Thomas Hitchborn,Thomas Young
Henry Bass,Josiah Bradlee
Thomas Spear,William Pierce
Samuel Moody,William Burbeck
Richard Boynton,Sam Partridge
Benjamin Church,Sam Partridge
Mr Chadwell,William Hoskins
John Prince,William Russell
Benjamin Burton,James Foster Condy
John Pulling,Thomas Roylson
Elisha Callendar,Joseph Webb
Henry Purkitt,Thomas Moore
Henry Bass,Joseph Roby
George Hewes,Joseph Eaton
Edward Proctor,Jonathan Hunnewell
Ezekiel Cheever,Sam Partridge
Edward Davis,Joseph Greenleaf
Caleb Champney,William Molineux
Anthony Morse,Stephen Bruce
John Phillips,Seth Chipman
Joseph Eayres,Nathaniel Bradlee
Nathaniel Barber,Phineas Stearns
Benjamin Simpson,Joseph Mountford
Joshua Wyeth,Stephen Bruce
Phillip Marett,Samuel Peck
David Kinnison,Paul Revere
Job Prince,John Hancock
Amos Lincoln,Samuel Peck
Ambrose Ferrell,Paul Revere
Benjamin Kent,Samuel Emmes
Martin Brimmer,Samuel Barrett
Edward Proctor,James Starr
Ambrose Ferrell,John Marlton
John Matchett,Samuel White
James Starr,Matthew Loring
Walter Kerr,William Wingfield
Gibbens Sharp,Thomas Young
Thomas Spear,William Hendley
Jonathan Hunnewell,Josiah Wheeler
James Graham,Moses Deshon
Gilbert Colesworthy,Moses Grant
Josiah Bradlee,William Etheridge
Thomas Machin,Thomas Spear
Caleb Champney,Samuel Adams
Samuel Peck,Jefferds
Nathaniel Bradlee,Peter Slater
Nathaniel Bradlee,Robert Davis
Joseph Roby,Thomas Bolter
John Pulling,Thomas Young
James Swan,John Cochran
Ebenezer Stevens,Edward Dolbear
Nathaniel Bradlee,William Pierce
Gilbert Ash,James Seward
Samuel Hammond,Thomas Bradlee
Caleb Champney,Isaac Pearce Jr
Adam Collson,Ebenezer Stevens
Henry Prentiss,Joseph Payson
Dr Allen,Samuel Emmes
John Pulling,Thomas Peck
Phineas Stearns,Thomas Bolter
John Gammell,Samuel Peck
Samuel Barnard,Samuel Gore
Perez Morton,Samuel Emmes
Alexander Inglish,Gilbert Ash
Thomas Chase,William Greenleaf
James Swan,Samuel Foster
Abraham Hunt,Jonathan Hunnewell
James Otis,Thomas Dawes
Eben Symmes,Moses Grant
John Lambert,Josiah Quincy
John Phillips,William Bell
Gilbert Colesworthy,Jeremiah Williams
James Foster Condy,Nathaniel Frothingham
Samuel Hammond,Thomas Urann
James Foster Condy,William Hoskins
Joseph Palmer,Samuel Fenno
Joseph Lee,Thomas Machin
Increase Blake,Peter Doyle
Nathaniel Bradlee,Samuel Howard
Eliphelet Newell,William Russell
Robert Davis,Thomas Bolter
Benjamin Simpson,James Swan
John Winslow,Royall Tyler
Ezra Collins,William Burbeck
Joseph Eaton,Stephen Bruce
Henry Bass,Thomas Chase
Eben Hancock,John Bradford
John Gammell,Joseph Eayres
Edward Proctor,Thomas Hitchborn
Elisha Story,William Breck
Joseph Eaton,Samuel Howard
John Boit,Nathaniel Holmes
Bos Foster,Samuel Barrett
James Swan,John Sigourney
David Kinnison,John Hooton
Joseph Payson,Samuel Foster
Henry Bass,William Whitwell
John Matchett,William Hoskins
Thomas Chase,Thomas Kimball
James Graham,Wait Gray
William Breck,William Molineux
Joseph Roby,Thomas Porter
Gilbert Colesworthy,Richard Hunnewell
Moses Grant,Thomas Williams
Joseph Lee,Joseph Shed
Enoch Brown,Nathaniel Barber
Abiel Ruddock,Benjamin Waldo
Anthony Morse,Daniel Ingersoll
John Marson,Samuel Austin
Robert Sessions,Thomas Bradlee
Abiel Ruddock,Henry Broomfield
Benjamin Church,Thomas Dawes
John Winthrop,Jonathan Mason
Gabriel Johonnott,Nathaniel Appleton
Jonathan Williams,Samuel Whitwell
Edward Jarvis,William McAlpine
John Randall,William Molineux
Elisha Story,Isaac Pearce Jr
Phineas Stearns,William Hendley
James Ivers,Joseph Eayres
Bos Foster,Pierce Isaac
Archibald MacNeil,John May
Josiah Bradlee,Samuel Sprague
Dr Allen,John Matchett
John Brown,Oliver Wendell
Edward Howe,Nathaniel Willis
Perez Morton,Samuel White
James Foster Condy,William Hendley
Herman Brimmer,Newn Greenough
John Sweetser,Josiah Quincy
John Russell,Jonathan Parker
Richard Hunnewell,Stephen Bruce
John Avery,Jonathan Mason
Henry Prentiss,Samuel Howard
Benjamin Burton,Samuel Sprague
Benjamin Clarke,Henry Purkitt
Capt MacKintosh,Eliphelet Newell
Joseph Eaton,Joseph Palmer
Edward Cailleteau,Phillip Marett
Adam Collson,John Hooton
Samuel Sprague,Thomas Melville
Joshua Wyeth,Thomas Bradlee
Moses Grant,Thomas Hitchborn
William Breck,William Hoskins
John Hooton,John Russell
John May,Nathaniel Frothingham
Henry Purkitt,Joseph Eaton
Henry Welles,Josiah Flagg
John Crane,Nathaniel Greene
Robert Davis,Eckley
Ambrose Ferrell,Ambrose Sloper
