source,target
Sam Wilson,Sharon Carter
Richard,Volstagg
Erik Selvig,The Other
Bucky Barnes,Georges Batroc
Groot,Ronan the Accuser
Howard Stark,James Montgomery Falsworth
Rhomann Dey,Rocket
Samuel Sterns,Tony Stark
Ho Yinsen,Tony Stark
Miriam Sharpe,T'Chaka
Rodriguez,Tony Stark
Cameron Klein,Peggy Carter
Pietro Maximoff,Wolfgang von Strucker
Cassie Lang,Dale
Malekith,Richard
Frigga,Loki
Mitchell Carson,Paxton
Kraglin,Rocket
Bereet,Thanos
Happy Hogan,James Rhodes
Ivan Vanko,Pepper Potts
Abraham Erskine,Nick Fury
Jack Rollins,Wolfgang von Strucker
Peggy Carter,Sharon Carter
Pepper Potts,Phil Coulson
Eir,Odin
Nick Fury,Thor
Jane Foster,Kurse
Ivan Vanko,Tony Stark
Howard Stark,Paxton
Luis,Steve Rogers
Anton Vanko,Happy Hogan
Meredith Quill,The Other
Garthan Saal,Howard the Duck
Frigga,Richard
Sif,Thor
Darcy Lewis,Heimdall
Peter Quill,Yondu Udonta
James Rhodes,Matthew Ellis
Ulysses Klaue,Wolfgang von Strucker
Fandral,Volstagg
Drax the Destroyer,Korath
Drax the Destroyer,Rocket
Hogun,Richard
Pepper Potts,Stern
Bereet,Nebula
Hawley,Peggy Carter
Laura Barton,Wanda Maximoff
Alexander Pierce,Bucky Barnes
Drax the Destroyer,The Collector
Sam Wilson,Tony Stark
Miriam Sharpe,Sam Wilson
Everett K. Ross,Peter Parker
Howard Stark,Raza
Phil Coulson,Steve Rogers
Howard the Duck,Rocket
Arnim Zola,Maria Hill
Bereet,The Other
Brock Rumlow,Pietro Maximoff
J.A.R.V.I.S.,Loki
Jack Rollins,Steve Rogers
Bruce Banner,Wolfgang von Strucker
Odin,Volstagg
Carina,Steve Rogers
Nick Fury,Sif
Carina,Nova Prime
Sam Wilson,Stern
Pepper Potts,The Other
Cameron Klein,Jasper Sitwell
Pepper Potts,Steve Rogers
Cameron Klein,Wanda Maximoff
Thor,Wanda Maximoff
James Rhodes,Peter Parker
Malekith,Volstagg
List,Sharon Carter
Erik Selvig,Ian Boothby
Anton Vanko,Pepper Potts
F.R.I.D.A.Y.,Maria Hill
Darcy Lewis,Kurse
Heimdall,James Rhodes
Heimdall,Wolfgang von Strucker
Korath,The Collector
Thanos,Ulysses Klaue
Bucky Barnes,Maggie
Gabe Jones,Red Skull
Nova Prime,The Other
Heinz Kruger,Peggy Carter
List,Steve Rogers
Ivan Vanko,Natasha Romanov
Jane Foster,Loki
Ivan Vanko,J.A.R.V.I.S.
Maria Stark,Miriam Sharpe
Heimdall,Sam Wilson
Garthan Saal,Kraglin
List,Wolfgang von Strucker
Hawley,Pietro Maximoff
Hogun,Loki
Sam Wilson,Ultron
Jasper Sitwell,Volstagg
Janet Van Dyne,Kurt
Laufey,Nick Fury
James Rhodes,Vision
Georgi Luchkov,Pepper Potts
Gideon Malick,Thanos
Georgi Luchkov,Thanos
Justin Hammer,Pepper Potts
Hogun,Jane Foster
Bruce Banner,Cameron Klein
Thanos,Wolfgang von Strucker
Steve Rogers,Ulysses Klaue
Hogun,Malekith
Carina,Richard
Gamora,Garthan Saal
Drax the Destroyer,Meredith Quill
Darcy Lewis,Tyr
Peter Parker,Vision
James Montgomery Falsworth,Nick Fury
Drax the Destroyer,Rhomann Dey
Alexander Pierce,Steve Rogers
Scott Lang,Sharon Carter
Peter Parker,Sharon Carter
Erik Selvig,F.R.I.D.A.Y.
Clint Barton,Thunderbolt Ross
Bucky Barnes,Cassie Lang
James Rhodes,Raza
Helen Cho,Tony Stark
Darren Cross,Janet Van Dyne
Dave,Scott Lang
Garthan Saal,Rhomann Dey
Jasper Sitwell,Thor
Clint Barton,Laura Barton
Everett K. Ross,Maria Stark
Heimdall,Volstagg
Jane Foster,Phil Coulson
T'Chaka,Tony Stark
Nebula,The Collector
Miriam Sharpe,Thunderbolt Ross
Cameron Klein,Ulysses Klaue
Arnim Zola,Natasha Romanov
Aldrich Killian,Eric Savin
Nebula,Nova Prime
Gideon Malick,J.A.R.V.I.S.
Malekith,Steve Rogers
Heinz Kruger,Jim Morita
Gale,Scott Lang
Sam Wilson,Scott Lang
Maria Hill,Thanos
Bereet,Garthan Saal
Jack Taggart,Trevor Slattery
Arnim Zola,Jack Rollins
List,Tony Stark
Bruce Banner,Wu
Bucky Barnes,Thunderbolt Ross
Drax the Destroyer,The Other
James Rhodes,Tony Stark
Hope Van Dyne,Scott Lang
Kurse,Odin
Malekith,The Collector
Carina,Kraglin
J.A.R.V.I.S.,Thanos
Ronan the Accuser,Yondu Udonta
Jasper Sitwell,Stern
F.R.I.D.A.Y.,Peggy Carter
Harley Keener,Matthew Ellis
J.A.R.V.I.S.,Thor
Eir,Fandral
May Parker,T'Challa
Peggy Carter,Wolfgang von Strucker
Betty Ross,Samuel Sterns
Helmut Zemo,May Parker
Rhomann Dey,The Other
Hawley,Pepper Potts
Nebula,Ronan the Accuser
Jane Foster,Tyr
Howard the Duck,Rhomann Dey
Sam Wilson,Thanos
Drax the Destroyer,Peter Quill
Jasper Sitwell,Maria Hill
Frigga,Sif
Howard Stark,Stern
Bucky Barnes,Wolfgang von Strucker
Harley Keener,Wu
Howard Stark,Peggy Carter
Howard Stark,Natasha Romanov
Clint Barton,Thor
Laufey,Phil Coulson
Odin,The Collector
Clint Barton,Sam Wilson
Heimdall,Nick Fury
Dum Dum Dugan,Gilmore Hodge
F.R.I.D.A.Y.,Heimdall
Bucky Barnes,Clint Barton
Ian Boothby,Malekith
Loki,Malekith
Georges Batroc,Sharon Carter
Jasper Sitwell,Laufey
Erik Selvig,The Collector
Bucky Barnes,Red Skull
Maya Hansen,Trevor Slattery
Stern,Wanda Maximoff
Abraham Erskine,Arnim Zola
Kurt,Steve Rogers
Jasper Sitwell,Loki
Erik Selvig,Gideon Malick
Bruce Banner,Jack Taggart
May Parker,Sam Wilson
Helen Cho,Sam Wilson
Brock Rumlow,Wanda Maximoff
Heimdall,Sif
Dale,Janet Van Dyne
Georges Batroc,Maria Hill
Frigga,Jasper Sitwell
Hope Van Dyne,Peggy Carter
J.A.R.V.I.S.,Steve Rogers
Peter Quill,Rhomann Dey
May Parker,Miriam Sharpe
Gamora,Kraglin
Nick Fury,Steve Rogers
Helen Cho,Nick Fury
Howard Stark,Janet Van Dyne
Maggie,Paxton
Clint Barton,Wanda Maximoff
Gale,Paxton
Bucky Barnes,Hawley
Nick Fury,Wanda Maximoff
Fandral,Phil Coulson
Helmut Zemo,Sharon Carter
Pepper Potts,Tony Stark
Aldrich Killian,Jack Taggart
Anton Vanko,J.A.R.V.I.S.
T'Challa,Vision
Aldrich Killian,Maya Hansen
Hawley,Nick Fury
Bor,Frigga
Cassie Lang,Howard Stark
Bruce Banner,Jasper Sitwell
Helen Cho,Steve Rogers
Georges Batroc,Sam Wilson
Darcy Lewis,Eir
Howard Stark,Mitchell Carson
List,Nick Fury
Howard Stark,Pepper Potts
Darcy Lewis,Richard
Heimdall,Hogun
Jacques Dernier,Red Skull
Drax the Destroyer,Nova Prime
Alexander Pierce,Sam Wilson
Howard Stark,Justin Hammer
Miriam Sharpe,Wanda Maximoff
Dum Dum Dugan,Jacques Dernier
J.A.R.V.I.S.,Maya Hansen
Cameron Klein,Erik Selvig
Laura Barton,Sam Wilson
Kraglin,Nova Prime
F.R.I.D.A.Y.,Maria Stark
Heimdall,Odin
Gilmore Hodge,Jacques Dernier
Drax the Destroyer,Yondu Udonta
Hawley,Jack Rollins
Phil Coulson,Raza
Heimdall,Laura Barton
Brock Rumlow,Steve Rogers
Howard the Duck,Thanos
Peggy Carter,Ulysses Klaue
Heinz Kruger,James Montgomery Falsworth
Erik Selvig,Pietro Maximoff
F.R.I.D.A.Y.,Thanos
Arnim Zola,Chester Phillips
Hawley,Sam Wilson
Gale,Steve Rogers
Bereet,Nova Prime
Gideon Malick,Pepper Potts
Loki,Pepper Potts
Carina,Jane Foster
F.R.I.D.A.Y.,Wanda Maximoff
Bruce Banner,Leonard Samson
Hank Pym,Luis
Jack Taggart,Wu
Raza,Tony Stark
Heimdall,Pietro Maximoff
Cameron Klein,James Rhodes
Arnim Zola,Heinz Kruger
Aldrich Killian,Bruce Banner
Bruce Banner,Peggy Carter
Heimdall,Ultron
Heimdall,List
Abraham Erskine,Brandt
Kraglin,Nebula
Heimdall,The Collector
Pietro Maximoff,Thanos
Nick Fury,Vision
Christine Everhart,J.A.R.V.I.S.
Thunderbolt Ross,Wanda Maximoff
James Rhodes,Ultron
Brandt,Peggy Carter
Hawley,Sharon Carter
Darcy Lewis,Steve Rogers
Kurse,Thor
Alexander Pierce,Natasha Romanov
Howard Stark,Sam Wilson
Kraglin,Yondu Udonta
Nova Prime,Yondu Udonta
Bor,Volstagg
Hawley,Thanos
Cameron Klein,Maria Hill
Laura Barton,Steve Rogers
Jack Rollins,Jasper Sitwell
Aldrich Killian,Ellen Brandt
Pietro Maximoff,Thor
Clint Barton,F.R.I.D.A.Y.
Pepper Potts,Wu
Dave,Steve Rogers
Erik Selvig,List
Brock Rumlow,Sharon Carter
Chester Phillips,Heinz Kruger
Sharon Carter,Vision
Dum Dum Dugan,Red Skull
Peggy Carter,Pietro Maximoff
Groot,Peter Quill
Ivan Vanko,Justin Hammer
Steve Rogers,Ultron
Kraglin,Rhomann Dey
Justin Hammer,Nick Fury
Korath,Meredith Quill
Bucky Barnes,Luis
Gamora,Nebula
Eric Savin,Ho Yinsen
Gideon Malick,Maria Hill
Heimdall,Loki
Georges Batroc,Wolfgang von Strucker
Chester Phillips,Howard Stark
Darren Cross,Kurt
James Rhodes,Maria Hill
Kurse,Malekith
Bor,Fandral
May Parker,Vision
The Other,Thor
List,Thanos
Bruce Banner,J.A.R.V.I.S.
Pietro Maximoff,Sam Wilson
Gilmore Hodge,Howard Stark
Nick Fury,Ulysses Klaue
Dale,Mitchell Carson
Brandt,Gilmore Hodge
Georgi Luchkov,J.A.R.V.I.S.
Bruce Banner,Ultron
Clint Barton,Ultron
Janet Van Dyne,Paxton
Red Skull,Steve Rogers
Pietro Maximoff,Stern
Fandral,Odin
Tony Stark,Ulysses Klaue
Steve Rogers,The Other
Pietro Maximoff,Wanda Maximoff
Darren Cross,Luis
Clint Barton,Gideon Malick
Howard the Duck,The Other
T'Challa,Thunderbolt Ross
Thunderbolt Ross,Vision
Laura Barton,Vision
Maya Hansen,Wu
Eir,Loki
Arnim Zola,James Montgomery Falsworth
Hope Van Dyne,Howard Stark
Hawley,Maria Hill
Gabe Jones,James Montgomery Falsworth
Chester Phillips,James Montgomery Falsworth
Kraglin,Meredith Quill
Brandt,Jim Morita
Georges Batroc,Stern
J.A.R.V.I.S.,Matthew Ellis
Bruce Banner,List
Peter Parker,Scott Lang
Hope Van Dyne,Paxton
Maria Stark,Sharon Carter
Bereet,Rhomann Dey
Korath,The Other
Chester Phillips,Jim Morita
Peter Parker,Steve Rogers
Scott Lang,Steve Rogers
James Rhodes,Laura Barton
Groot,Howard the Duck
Gideon Malick,Nick Fury
Bor,Steve Rogers
Helen Cho,Thor
Laura Barton,Wolfgang von Strucker
Meredith Quill,Thanos
Steve Rogers,T'Chaka
Thanos,Yondu Udonta
Laura Barton,Thor
James Rhodes,Miriam Sharpe
Frigga,Odin
Miriam Sharpe,Tony Stark
Sharon Carter,Wanda Maximoff
Hogun,Ian Boothby
Natasha Romanov,Thunderbolt Ross
Maria Hill,Thor
Abraham Erskine,Jacques Dernier
Clint Barton,Fandral
Gale,Howard Stark
List,Stern
Georges Batroc,Nick Fury
Gilmore Hodge,Jim Morita
Bruce Banner,Maya Hansen
Darcy Lewis,Nick Fury
Cassie Lang,Darren Cross
Christine Everhart,Justin Hammer
Bereet,Ronan the Accuser
Brock Rumlow,Maria Hill
Frigga,Kurse
F.R.I.D.A.Y.,List
Laura Barton,Thanos
Jack Rollins,List
Jacques Dernier,Nick Fury
Ellen Brandt,Harley Keener
Nick Fury,Peggy Carter
Carina,Drax the Destroyer
Stern,Wolfgang von Strucker
Ellen Brandt,Ho Yinsen
Thor,Ultron
Jim Morita,Steve Rogers
James Rhodes,Nick Fury
Trevor Slattery,Wu
Gilmore Hodge,Heinz Kruger
Howard Stark,Kurt
Darcy Lewis,Thor
Garthan Saal,Nova Prime
Richard,Tyr
Bor,Kurse
Clint Barton,Peter Parker
Erik Selvig,J.A.R.V.I.S.
Odin,Phil Coulson
Brandt,Heinz Kruger
Luis,Maggie
Arnim Zola,Peggy Carter
F.R.I.D.A.Y.,Sharon Carter
James Rhodes,Maria Stark
Bruce Banner,Pietro Maximoff
Georgi Luchkov,Loki
Erik Selvig,Vision
Drax the Destroyer,Gamora
Dale,Darren Cross
Abraham Erskine,Chester Phillips
Bucky Barnes,Gale
Hogun,Nick Fury
Bor,Hogun
Georges Batroc,Pietro Maximoff
Jasper Sitwell,Wolfgang von Strucker
Rocket,Ronan the Accuser
Everett K. Ross,Wanda Maximoff
Peggy Carter,Stern
Thanos,The Other
Luis,Mitchell Carson
Maggie,Scott Lang
Georgi Luchkov,Tony Stark
Heinz Kruger,Steve Rogers
Darcy Lewis,Phil Coulson
Cassie Lang,Steve Rogers
Garthan Saal,Rocket
Chess Roberts,Tony Stark
Darren Cross,Dave
Carina,Eir
Happy Hogan,Raza
Bruce Banner,Trevor Slattery
Anton Vanko,Tony Stark
Alexander Pierce,Pietro Maximoff
Ellen Brandt,Pepper Potts
Howard Stark,James Rhodes
Jane Foster,Richard
Steve Rogers,T'Challa
Hawley,Thor
Chess Roberts,Nick Fury
Everett K. Ross,Scott Lang
Anton Vanko,Christine Everhart
Cameron Klein,Sharon Carter
James Rhodes,Thanos
Brandt,Bucky Barnes
Darren Cross,Gale
Cassie Lang,Dave
F.R.I.D.A.Y.,T'Challa
Fandral,Kurse
Erik Selvig,Sif
Aldrich Killian,Happy Hogan
Ian Boothby,Steve Rogers
Arnim Zola,Jasper Sitwell
Clint Barton,Thanos
Fandral,Jasper Sitwell
Anton Vanko,Nick Fury
Kurse,Sif
Helmut Zemo,Scott Lang
Janet Van Dyne,Luis
Malekith,Thor
Abraham Erskine,Red Skull
Happy Hogan,Wu
Loki,Tyr
Ho Yinsen,Wu
Laura Barton,Ulysses Klaue
Fandral,Malekith
Meredith Quill,Ronan the Accuser
Kurse,Richard
Maria Hill,Sharon Carter
Bucky Barnes,Jack Rollins
James Rhodes,T'Challa
Chess Roberts,Howard Stark
Arnim Zola,Wanda Maximoff
Nebula,Yondu Udonta
Cassie Lang,Luis
Everett K. Ross,Miriam Sharpe
Maria Hill,Natasha Romanov
Cameron Klein,List
Pietro Maximoff,Ulysses Klaue
Christine Everhart,Obadiah Stane
Maya Hansen,Pepper Potts
Brock Rumlow,Thunderbolt Ross
Helen Cho,List
James Rhodes,List
Bucky Barnes,Paxton
Heimdall,Jane Foster
Emil Blonsky,Leonard Samson
Everett K. Ross,May Parker
Pietro Maximoff,Sharon Carter
Meredith Quill,Peter Quill
Arnim Zola,Bucky Barnes
Bereet,Gamora
Frigga,Malekith
Ian Boothby,Odin
Cameron Klein,Jack Rollins
Leonard Samson,Thunderbolt Ross
Darcy Lewis,Fandral
Cassie Lang,Mitchell Carson
Malekith,Tyr
Leonard Samson,Tony Stark
Jasper Sitwell,Sam Wilson
Drax the Destroyer,Groot
Obadiah Stane,Pepper Potts
Hank Pym,Peggy Carter
Dave,Gale
Cameron Klein,Thor
Miriam Sharpe,Sharon Carter
Gamora,Rhomann Dey
Peggy Carter,Ultron
Christine Everhart,Happy Hogan
Luis,Paxton
Mitchell Carson,Scott Lang
Bruce Banner,Pepper Potts
Malekith,Sif
Maria Stark,T'Chaka
Arnim Zola,Cameron Klein
Scott Lang,Vision
Samuel Sterns,Thunderbolt Ross
Carina,Nebula
Erik Selvig,Helen Cho
Helmut Zemo,Natasha Romanov
Abraham Erskine,Heinz Kruger
Clint Barton,Pepper Potts
Howard Stark,Maggie
Nova Prime,Ronan the Accuser
Laufey,Sif
Bucky Barnes,Sharon Carter
Carina,The Collector
Maria Hill,Pietro Maximoff
Clint Barton,Maria Stark
Clint Barton,Odin
Jack Rollins,Pietro Maximoff
Janet Van Dyne,Scott Lang
Garthan Saal,Korath
Cassie Lang,Janet Van Dyne
Bruce Banner,Harley Keener
Bor,Tyr
Hawley,Wanda Maximoff
Frigga,The Collector
Nick Fury,The Other
Helmut Zemo,Wanda Maximoff
Thor,Tyr
Clint Barton,Sif
Bucky Barnes,Maria Stark
Georgi Luchkov,Phil Coulson
Bereet,Yondu Udonta
Chester Phillips,Red Skull
Dave,Mitchell Carson
Hope Van Dyne,Steve Rogers
Georgi Luchkov,Steve Rogers
Dum Dum Dugan,Steve Rogers
Georgi Luchkov,Maria Hill
Aldrich Killian,Tony Stark
Matthew Ellis,Maya Hansen
Steve Rogers,Tony Stark
Erik Selvig,Georgi Luchkov
List,Peggy Carter
Sharon Carter,Tony Stark
Heinz Kruger,Howard Stark
Nova Prime,Rocket
Georges Batroc,Wanda Maximoff
Cameron Klein,Helen Cho
James Rhodes,Obadiah Stane
Heimdall,Thor
Dave,Luis
Bucky Barnes,Pietro Maximoff
Ho Yinsen,Nick Fury
Anton Vanko,Chess Roberts
Maria Stark,Natasha Romanov
Bruce Banner,Nick Fury
May Parker,Peter Parker
Kurt,Maggie
Jack Taggart,Matthew Ellis
Pepper Potts,Thor
Sam Wilson,Wolfgang von Strucker
Natasha Romanov,Tony Stark
Darcy Lewis,Jane Foster
Happy Hogan,Harley Keener
Howard the Duck,The Collector
Jack Rollins,Wanda Maximoff
Aldrich Killian,Trevor Slattery
Helen Cho,Thanos
Eir,Hogun
Howard Stark,Obadiah Stane
Mitchell Carson,Steve Rogers
Ian Boothby,Thor
Heimdall,Thanos
Brock Rumlow,Jasper Sitwell
Christine Everhart,Ho Yinsen
Dave,Kurt
Jasper Sitwell,Wanda Maximoff
Bruce Banner,Clint Barton
Pietro Maximoff,Tony Stark
Ian Boothby,Tyr
Brock Rumlow,Nick Fury
Matthew Ellis,Trevor Slattery
Tony Stark,Vision
Erik Selvig,Kurse
Helmut Zemo,Maria Stark
Jack Rollins,Stern
Ho Yinsen,Phil Coulson
Jack Rollins,Sharon Carter
List,Ulysses Klaue
Kraglin,The Collector
Cameron Klein,Nick Fury
Kraglin,The Other
Bucky Barnes,Scott Lang
Jacques Dernier,James Montgomery Falsworth
Clint Barton,J.A.R.V.I.S.
Matthew Ellis,Rodriguez
Gabe Jones,Jim Morita
Eric Savin,James Rhodes
Loki,The Collector
James Rhodes,Wanda Maximoff
Korath,Peter Quill
Peter Parker,Wanda Maximoff
Scott Lang,Wanda Maximoff
Bruce Banner,Laura Barton
Carina,Hogun
Sam Wilson,T'Chaka
Dale,Hope Van Dyne
Frigga,Nick Fury
Steve Rogers,Tyr
Bucky Barnes,Helmut Zemo
Aldrich Killian,James Rhodes
Natasha Romanov,Wolfgang von Strucker
Fandral,The Collector
Howard Stark,Red Skull
Georges Batroc,Steve Rogers
Carina,Loki
Arnim Zola,Hawley
Chester Phillips,Steve Rogers
Bucky Barnes,T'Chaka
Peggy Carter,Thanos
Richard,The Collector
Eric Savin,Maya Hansen
Betty Ross,Bruce Banner
F.R.I.D.A.Y.,Tony Stark
Cameron Klein,Hawley
James Rhodes,Sam Wilson
Chester Phillips,Nick Fury
Frigga,Ian Boothby
Helmut Zemo,T'Challa
J.A.R.V.I.S.,Obadiah Stane
Darren Cross,Sam Wilson
Vision,Wolfgang von Strucker
Ian Boothby,Sif
Cameron Klein,Ultron
Ellen Brandt,Wu
Bor,Eir
Natasha Romanov,Peggy Carter
Dale,Scott Lang
Frigga,Volstagg
Christine Everhart,James Rhodes
Luis,Sam Wilson
Natasha Romanov,Pietro Maximoff
Sharon Carter,T'Chaka
Clint Barton,T'Chaka
Loki,Nick Fury
Korath,Yondu Udonta
Erik Selvig,Wanda Maximoff
Darcy Lewis,Odin
Jasper Sitwell,Tony Stark
Dale,Dave
Richard,Steve Rogers
Chester Phillips,Gabe Jones
Jasper Sitwell,Thanos
Clint Barton,Ulysses Klaue
Cassie Lang,Peggy Carter
Clint Barton,Frigga
Gale,Mitchell Carson
Laura Barton,Nick Fury
Jack Rollins,Nick Fury
Howard the Duck,Kraglin
Erik Selvig,Thanos
Everett K. Ross,Thunderbolt Ross
Natasha Romanov,Vision
Betty Ross,Emil Blonsky
Garthan Saal,Ronan the Accuser
Georgi Luchkov,Natasha Romanov
Maria Stark,Vision
Fandral,Nick Fury
Gale,Kurt
Darcy Lewis,Frigga
Cassie Lang,Hank Pym
Tony Stark,Trevor Slattery
Heimdall,Laufey
Sif,Tyr
Peter Parker,Sam Wilson
Bucky Barnes,Gilmore Hodge
Brock Rumlow,Tony Stark
Happy Hogan,Ivan Vanko
Alexander Pierce,Maria Hill
Loki,Sif
Dum Dum Dugan,James Montgomery Falsworth
Clint Barton,James Rhodes
Loki,Odin
Maria Hill,Nick Fury
Bor,Carina
F.R.I.D.A.Y.,Thunderbolt Ross
Dale,Kurt
Nick Fury,Red Skull
Ellen Brandt,Rodriguez
Carina,Ronan the Accuser
Maria Stark,Thunderbolt Ross
Harley Keener,Maya Hansen
Ho Yinsen,Howard Stark
Helen Cho,Maria Hill
Natasha Romanov,Sharon Carter
Loki,Phil Coulson
Thanos,Wanda Maximoff
Loki,Steve Rogers
Heimdall,Ian Boothby
Abraham Erskine,Steve Rogers
Abraham Erskine,Bucky Barnes
Erik Selvig,Laura Barton
Bor,Jane Foster
Darren Cross,Scott Lang
Fandral,Frigga
Peter Quill,The Collector
Fandral,Thor
Pepper Potts,Thanos
Natasha Romanov,Thanos
Kurt,Paxton
Erik Selvig,Malekith
Nebula,Peter Quill
F.R.I.D.A.Y.,T'Chaka
Darcy Lewis,Laufey
Brandt,Gabe Jones
Darren Cross,Peggy Carter
Harley Keener,Ho Yinsen
F.R.I.D.A.Y.,Nick Fury
Cameron Klein,Natasha Romanov
Maria Hill,Wanda Maximoff
Cameron Klein,Sam Wilson
Helen Cho,Pietro Maximoff
Kraglin,Peter Quill
Betty Ross,Tony Stark
Bucky Barnes,Jasper Sitwell
Anton Vanko,Howard Stark
Erik Selvig,Peggy Carter
Cassie Lang,Sam Wilson
Georges Batroc,Jasper Sitwell
J.A.R.V.I.S.,Stern
Howard the Duck,Meredith Quill
Hank Pym,Janet Van Dyne
Darcy Lewis,Erik Selvig
Cassie Lang,Paxton
Fandral,Heimdall
Groot,Nebula
Laufey,Odin
Brock Rumlow,List
Garthan Saal,Groot
Maria Stark,Peter Parker
F.R.I.D.A.Y.,Wolfgang von Strucker
Ellen Brandt,Trevor Slattery
Cameron Klein,F.R.I.D.A.Y.
Kurt,Sam Wilson
F.R.I.D.A.Y.,Steve Rogers
Harley Keener,Rodriguez
James Montgomery Falsworth,Jim Morita
Bereet,Kraglin
Paxton,Steve Rogers
Gabe Jones,Howard Stark
Eric Savin,Matthew Ellis
J.A.R.V.I.S.,Nick Fury
Brandt,Dum Dum Dugan
Drax the Destroyer,Thanos
Carina,Heimdall
Ellen Brandt,Happy Hogan
Rhomann Dey,Ronan the Accuser
Drax the Destroyer,Howard the Duck
Carina,Groot
Clint Barton,Miriam Sharpe
J.A.R.V.I.S.,James Rhodes
James Rhodes,Stern
Christine Everhart,Natasha Romanov
Gilmore Hodge,Red Skull
Clint Barton,T'Challa
List,Thor
Dum Dum Dugan,Peggy Carter
Phil Coulson,The Other
Eir,Thor
Christine Everhart,Pepper Potts
Anton Vanko,Justin Hammer
Bucky Barnes,Vision
Heimdall,Ulysses Klaue
Sif,Volstagg
Ellen Brandt,J.A.R.V.I.S.
Chester Phillips,Peggy Carter
Eric Savin,Tony Stark
Thanos,Ultron
Frigga,Laufey
Scott Lang,T'Challa
Clint Barton,Phil Coulson
Peter Parker,T'Challa
Nick Fury,Wolfgang von Strucker
Paxton,Sam Wilson
The Other,Yondu Udonta
Tony Stark,Wanda Maximoff
Helmut Zemo,Thunderbolt Ross
Jasper Sitwell,Pepper Potts
Dale,Gale
Rodriguez,Trevor Slattery
Helen Cho,Vision
Sam Wilson,Thor
Brandt,Nick Fury
Eir,Heimdall
Chess Roberts,Justin Hammer
Ronan the Accuser,Thanos
Rocket,Yondu Udonta
Gabe Jones,Peggy Carter
Arnim Zola,List
Fandral,Laufey
Jasper Sitwell,Steve Rogers
Jasper Sitwell,Sif
Garthan Saal,Thanos
Bruce Banner,F.R.I.D.A.Y.
Cameron Klein,Steve Rogers
Hank Pym,Steve Rogers
Bucky Barnes,Stern
Loki,Richard
Carina,Rhomann Dey
Brandt,Chester Phillips
Bereet,Peter Quill
Sharon Carter,Thunderbolt Ross
Darcy Lewis,Sif
Phil Coulson,Thor
Gamora,Nova Prime
Heimdall,Vision
Brandt,Steve Rogers
Happy Hogan,Obadiah Stane
Darcy Lewis,Jasper Sitwell
The Collector,The Other
Aldrich Killian,Matthew Ellis
Bucky Barnes,Mitchell Carson
Cameron Klein,Clint Barton
Gale,Sam Wilson
Hawley,Steve Rogers
Maria Hill,Ulysses Klaue
Hogun,Kurse
Peggy Carter,Thor
Rocket,Thanos
Jane Foster,Steve Rogers
Emil Blonsky,Tony Stark
Ho Yinsen,Matthew Ellis
Jack Taggart,Rodriguez
Carina,Ian Boothby
T'Chaka,Vision
J.A.R.V.I.S.,Natasha Romanov
Arnim Zola,Red Skull
Jacques Dernier,Jim Morita
Bucky Barnes,James Rhodes
Pietro Maximoff,Vision
Clint Barton,Helmut Zemo
Ellen Brandt,Jack Taggart
Howard Stark,Phil Coulson
F.R.I.D.A.Y.,Sam Wilson
Garthan Saal,The Other
Christine Everhart,Stern
Brandt,Jacques Dernier
Eric Savin,J.A.R.V.I.S.
Erik Selvig,Laufey
Groot,Rhomann Dey
Happy Hogan,Natasha Romanov
